# x1, x2, class
-2.04756,2.40610,1
2.64804,-1.03219,0
-1.11576,1.75425,1
2.98482,-1.59241,0
-2.60505,-0.19826,1
1.05290,-1.35170,0
-2.96789,0.93659,1
2.16254,-0.72377,0
-2.88725,2.16521,1
2.51707,-2.02317,0
-1.38585,2.36324,1
3.04375,-2.40992,0
-3.53310,1.84013,1
1.12270,-0.86354,0
-3.70349,2.95083,1
2.09754,-2.60706,0
-0.26485,2.47435,1
3.20939,-0.77441,0
-3.22094,-0.14590,1
1.43622,-3.39114,0
-1.54068,2.59795,1
2.45272,-2.04452,0
-3.02041,2.61462,1
2.15133,-2.50463,0
-0.78131,3.68743,1
3.61795,-0.96238,0
-2.09438,4.20982,1
1.45374,-2.87791,0
-0.77775,3.20552,1
0.46101,-0.40970,0
-2.44178,3.78035,1
1.48230,-0.13860,0
-1.24544,2.61298,1
2.44684,-1.00463,0
-3.39569,4.00895,1
1.55379,-0.42159,0
-1.64896,1.92961,1
2.25342,-2.19984,0
-2.81111,2.33845,1
2.65838,-1.19153,0
-2.99037,2.41961,1
2.35885,-2.56410,0
-2.12253,2.27988,1
4.60404,-3.29859,0
-0.62594,1.86727,1
1.65219,-1.36425,0
-2.82670,1.98989,1
3.15746,-2.58919,0
-3.24644,1.65262,1
2.30880,-1.71646,0
-2.42067,2.25916,1
0.78045,-2.19331,0
-2.56473,1.10317,1
2.19318,-0.68784,0
-1.90284,2.98958,1
1.52763,-2.54630,0
-1.91078,1.98045,1
3.82474,-0.46279,0
-1.98896,3.27429,1
1.73252,-2.37305,0
-3.50680,2.46181,1
1.83009,-1.28645,0
-1.38454,2.43356,1
1.73513,-2.05132,0
-1.40267,4.10150,1
2.27833,-2.51366,0
-2.74864,0.93659,1
1.46767,-3.52017,0
-1.40686,2.46648,1
0.74760,-1.39725,0
-1.90840,0.61600,1
1.14652,-2.36150,0
-4.42940,2.11122,1
2.01720,-2.22868,0
-2.82853,4.23210,1
3.96876,-1.72219,0
-1.46247,1.19936,1
2.21984,-2.30956,0
-1.11305,-0.83863,1
1.08311,-0.77603,0
-3.07223,1.48418,1
2.66460,-1.14396,0
-1.86060,2.95514,1
2.45482,-3.96531,0
-1.12278,1.74062,1
0.80479,-2.36217,0
-1.96104,3.16045,1
0.91773,-1.41627,0
-1.42454,1.41851,1
1.75387,-1.99347,0
-1.57998,0.47558,1
1.73702,-0.68827,0
0.01714,1.13242,1
2.23276,-1.83622,0
-1.56314,2.95182,1
1.28330,-2.93286,0
-1.16304,2.35476,1
2.17851,-2.02380,0
-1.11401,1.39574,1
1.62379,-3.64750,0
-2.30821,3.03963,1
0.48379,-2.90677,0
-3.08507,3.25813,1
1.77852,-2.82203,0
-1.58767,2.76635,1
1.16607,-1.33533,0
-3.00777,1.43553,1
1.03423,-2.09416,0
-1.54331,2.34073,1
1.29869,-0.96336,0
-2.18731,1.63548,1
1.40163,-2.03581,0
-1.01911,1.61947,1
4.47662,-1.06022,0
-1.35037,2.09034,1
2.13194,-2.35735,0
-1.28685,2.77491,1
3.84218,-3.15037,0
-0.92209,4.40747,1
0.78051,0.33973,0
-3.43654,2.40381,1
2.21142,-2.70007,0
-0.28664,0.31887,1
0.65657,-1.67250,0
-2.99652,2.65260,1
2.11091,-1.47810,0
-2.25135,1.84934,1
0.93243,-1.29391,0
-2.29390,2.70748,1
1.80622,-0.14734,0
-2.68285,2.19115,1
2.18179,-2.83932,0
-3.27128,1.70330,1
0.44193,-0.93813,0
-2.73278,1.95466,1
2.72319,-1.77394,0
-1.99548,1.97071,1
0.44467,-1.66824,0
-1.20509,2.63286,1
2.40060,0.14255,0
-2.62586,0.60059,1
1.47497,-2.55998,0
-0.96263,2.84782,1
2.09534,-2.69321,0
-3.38185,3.05626,1
1.58697,-2.10076,0
-2.60997,2.23331,1
2.92753,-2.79628,0
-2.61803,0.40036,1
3.87042,-1.12407,0
-0.61150,4.43032,1
2.48954,-0.68022,0
-2.11838,1.86301,1
3.34857,-1.38851,0
-2.03235,1.35513,1
3.20386,-0.81791,0
-2.20480,2.67905,1
2.49668,-0.47778,0
-4.93186,2.46598,1
1.09035,-2.17478,0
-2.06479,1.16686,1
0.42860,-2.23103,0
-1.53374,3.36589,1
1.42579,-1.57071,0
-1.40031,-0.34005,1
0.45334,-1.23931,0
-2.75788,1.76402,1
0.96995,-1.80697,0
-1.99639,1.94854,1
1.53834,-0.25253,0
-3.25990,2.97785,1
2.37189,0.05734,0
-1.99985,0.66987,1
3.27744,-0.38413,0
-1.08983,1.68008,1
1.56424,-3.61841,0
-1.53146,2.71832,1
2.19641,-2.07269,0
-3.11594,2.52078,1
1.07495,-2.81460,0
-0.46697,1.33457,1
3.23551,-0.78509,0
-2.80814,1.89910,1
-0.67010,-1.88775,0
-2.15684,2.66373,1
2.81654,-1.72017,0
-2.78886,0.54976,1
2.21652,-3.31236,0
-2.07961,2.95726,1
1.62207,-1.14963,0
-1.50953,3.52455,1
2.12865,-2.34772,0
-1.70612,1.33280,1
1.97495,-3.31598,0
-3.56371,2.72940,1
1.93997,-0.67800,0
-2.74781,3.61808,1
2.72065,-0.92446,0
-2.68871,3.21163,1
2.10954,-0.14257,0
-1.47158,0.99944,1
0.23415,-1.18840,0
-1.84809,1.13651,1
2.09464,-2.62550,0
-2.54613,3.19263,1
3.69441,-1.25968,0
-2.40445,2.77980,1
2.74931,-1.35686,0
-1.88655,2.20374,1
2.27554,-0.88585,0
-1.08788,3.51698,1
1.03793,-3.97077,0
-1.14930,2.35208,1
3.64208,-0.83352,0
-1.96043,2.55043,1
1.49346,-2.75302,0
-2.14245,2.35339,1
1.41466,-1.79538,0
-3.91422,2.90228,1
-0.04292,-3.19138,0
-1.75549,2.60970,1
2.37081,-2.10897,0
-2.45013,3.00403,1
1.25507,-1.68252,0
-1.84142,3.10947,1
2.20515,-1.73887,0
-2.93326,2.51581,1
1.91562,-2.56910,0
-1.05323,3.38922,1
1.80847,-3.46946,0
-2.68292,3.80406,1
3.49822,-2.67820,0
-2.24890,4.02480,1
2.76019,-1.79766,0
-2.00899,1.69888,1
3.29838,-2.69641,0
-0.74328,3.49733,1
1.98483,-0.87435,0
-1.42130,1.28842,1
2.43926,-1.38386,0
-2.34266,2.43256,1
1.99626,-2.26931,0
-3.49601,3.15865,1
2.76109,-2.52641,0
-2.79104,1.62491,1
0.49705,-1.26764,0
-2.98295,1.39471,1
3.61730,-2.39603,0
-2.31671,3.40217,1
2.16143,-3.76916,0
-1.51084,3.75259,1
1.33490,-2.27369,0
-3.52219,0.64619,1
2.93298,-0.27983,0
-4.13627,3.39838,1
3.07127,-1.13006,0
-0.02813,4.83918,1
3.13057,-1.83784,0
-3.02236,2.16406,1
2.34826,-1.90077,0
-1.07740,1.40095,1
1.43572,-2.39033,0
-0.48004,3.29616,1
2.40107,-3.31418,0
-1.30836,2.03410,1
2.25348,-3.54591,0
-1.29877,1.08013,1
1.60777,-1.42875,0
-0.91718,0.57354,1
3.81153,-3.24996,0
-1.19398,1.47891,1
2.26513,-3.29773,0
-2.31520,0.58702,1
1.69409,-3.27920,0
-3.35031,2.32749,1
1.10344,-1.86804,0
-1.74402,1.19847,1
1.10162,-2.82356,0
-2.49768,2.91339,1
1.00205,-2.06636,0
-2.12284,1.64841,1
0.35402,-3.16466,0
-2.52352,1.68527,1
2.84351,-1.39629,0
-1.86477,1.01262,1
0.65602,-2.56565,0
-2.74614,2.19426,1
2.49157,-1.04816,0
-1.63473,1.17814,1
2.09575,-2.41245,0
-2.39183,3.07242,1
2.15087,-2.19305,0
-2.37086,1.76481,1
2.25330,-1.60710,0
-1.81992,1.81289,1
2.14219,-1.14545,0
-2.25470,3.20939,1
1.90531,-1.54631,0
-0.17964,0.54776,1
3.01222,-1.60301,0
-1.14210,-0.47257,1
0.88300,-2.34190,0
-1.77895,1.94101,1
4.05222,-0.68602,0
-1.99676,2.97376,1
1.68904,-1.34772,0
-1.85452,2.35850,1
1.33137,-0.99426,0
-2.40184,2.42715,1
2.77522,-1.24169,0
-2.05586,3.98292,1
1.92089,-2.14526,0
-1.31473,3.04732,1
1.58999,-1.19292,0
-2.54446,2.51945,1
1.25250,-1.91993,0
-2.49733,2.71766,1
2.35200,-0.87161,0
-0.55858,2.72516,1
1.77491,-1.26856,0
-3.50191,1.26889,1
0.87634,-0.41530,0
-1.61757,1.12107,1
3.91658,-3.20472,0
-0.04890,2.17140,1
2.25187,-3.00731,0
-1.90232,-1.21166,1
3.06254,-1.69449,0
-2.18186,4.42104,1
2.21354,-0.99614,0
-1.70550,1.85641,1
0.05142,-2.30041,0
-1.55907,2.64425,1
2.51570,-2.51095,0
-2.33801,2.46247,1
4.50776,-3.08161,0
-3.39651,2.68845,1
2.25673,-0.79723,0
-1.72387,0.19837,1
2.43547,-2.42596,0
-3.44753,1.57911,1
2.94272,-1.57407,0
-1.99202,3.16838,1
2.62139,-0.97392,0
-3.83869,2.54460,1
-0.19293,-1.68303,0
-1.85330,2.22316,1
1.41698,-2.93124,0
-2.44810,1.53397,1
2.04864,-2.04247,0
-0.85396,3.06766,1
2.22609,-1.29947,0
-0.59771,2.00019,1
1.61683,-2.07701,0
-4.18310,0.43968,1
2.42083,-2.91260,0
-2.55325,3.82001,1
3.61347,0.57836,0
-4.36457,0.76358,1
-0.10105,-2.37731,0
-1.61087,0.16909,1
2.18628,-2.58851,0
-1.45307,0.73888,1
2.27117,-2.22956,0
-2.86244,1.73419,1
1.45581,-2.61111,0
-1.61841,4.41322,1
2.28608,-2.95920,0
-2.20136,1.70781,1
1.46473,-1.74736,0
-0.93237,1.98293,1
0.78141,-3.68838,0
-2.02796,1.52712,1
2.46007,-4.13665,0
-2.69442,2.43982,1
2.80404,-1.30449,0
-4.23771,1.80445,1
1.13848,-1.93653,0
-2.36608,2.13479,1
2.25892,-0.58737,0
-1.36638,1.22352,1
3.54316,-2.72786,0
-1.32822,1.41167,1
1.07250,-2.53742,0
-0.54149,2.48420,1
2.78483,-1.80438,0
-3.43299,3.48232,1
2.96017,-1.66291,0
0.02545,1.87846,1
2.38902,-1.09143,0
0.14556,4.41465,1
1.70466,-2.15646,0
-3.05995,2.96260,1
2.00991,0.08473,0
-2.63037,3.37235,1
1.25342,-1.65245,0
-3.67205,2.40441,1
1.94371,-3.51953,0
-1.22444,1.19784,1
1.72488,-2.74582,0
-1.80431,0.97613,1
1.01596,-0.97415,0
0.01739,2.13154,1
1.48615,-2.56699,0
-1.45934,1.69282,1
0.00323,-2.43335,0
-3.99663,1.56252,1
3.70486,-1.66551,0
-1.64975,0.46388,1
1.77313,-2.43115,0
-0.98618,1.44927,1
2.55943,-0.93409,0
-0.50529,1.20234,1
3.11816,-0.62932,0
-0.70050,1.86271,1
1.97406,-2.34616,0
-1.58685,3.17238,1
1.72210,-2.59282,0
-1.93248,1.16860,1
0.82234,-2.44605,0
-2.61123,2.42688,1
2.88707,-2.61899,0
-2.12577,1.07604,1
0.11400,-0.84641,0
-2.83359,1.30976,1
1.82438,-2.75617,0
-1.49758,2.53633,1
2.08241,-1.73605,0
-2.63646,1.62302,1
1.56220,-2.53384,0
-1.42635,2.24413,1
1.09612,-2.60773,0
-3.32797,1.50239,1
1.50059,-0.66953,0
-0.90331,0.49778,1
1.84097,-0.34491,0
-1.24266,3.31452,1
3.02891,-3.09456,0
-2.87747,2.19113,1
0.92551,-3.02812,0
-2.41128,3.86171,1
2.26141,-2.11203,0
-3.10187,1.44009,1
1.03609,-0.55472,0
-2.23793,2.09653,1
3.22410,-3.11373,0
-3.58984,0.72525,1
0.77144,-2.24182,0
-2.56879,2.67848,1
4.71913,-0.95606,0
-2.52117,1.82334,1
2.22131,-3.27378,0
-3.09195,5.24574,1
1.46288,-0.98686,0
-0.64003,1.89859,1
2.90445,-3.50499,0
-1.63527,1.26524,1
1.20635,-2.43396,0
-4.15777,2.30335,1
2.67380,-1.75514,0
-1.30627,4.62099,1
0.33848,-2.89789,0
-1.61101,1.54040,1
1.22929,-2.12083,0
-2.52017,3.38428,1
1.57170,-1.29922,0
-2.42040,2.13631,1
2.48093,-3.10345,0
-2.43193,2.40053,1
1.35146,-1.72873,0
-2.75052,0.52547,1
0.84351,-1.43223,0
-1.34109,1.12484,1
2.18915,-2.54184,0
-0.18948,3.73554,1
2.26017,-0.58581,0
-2.43848,1.21578,1
2.43714,-1.30563,0
-2.53807,2.49835,1
1.45898,-3.14341,0
-1.04541,3.37082,1
2.51127,-2.28259,0
-1.17565,1.66758,1
1.00070,-3.60450,0
-3.74494,1.13593,1
3.41131,-1.62892,0
-2.33762,2.54541,1
1.03891,-2.63239,0
-2.36324,1.22477,1
3.84688,-2.03915,0
-1.95067,1.49669,1
1.52724,-2.57596,0
-2.11791,2.17687,1
1.91514,-1.02055,0
-3.00922,3.50415,1
1.75876,-2.37417,0
-3.39282,1.85039,1
2.89598,-4.11687,0
-2.18395,0.92234,1
1.15771,-2.25781,0
-1.28792,2.54579,1
3.26022,-3.36389,0
-1.67477,2.31035,1
1.31564,-2.86417,0
-3.35158,0.62902,1
2.84422,-1.30868,0
-0.82790,-1.00559,1
2.16784,-1.89164,0
-2.12595,0.56154,1
1.56202,-1.39116,0
-1.66768,2.10439,1
2.08425,-2.78010,0
-3.07134,1.40537,1
1.96366,-1.37481,0
-1.12613,2.84176,1
1.86975,-3.71749,0
-1.10241,2.71576,1
2.77142,-3.29699,0
-1.72991,2.69591,1
1.24101,-2.17906,0
-3.44869,1.94171,1
5.28827,-3.01904,0
-2.25967,3.20576,1
1.08103,0.00755,0
-2.69535,2.57692,1
3.07986,-1.66371,0
-2.90424,1.36261,1
0.75918,-1.41431,0
-2.61663,0.92519,1
0.80623,-1.72747,0
-0.29020,3.22319,1
1.81355,-2.38868,0
-3.14014,3.10019,1
2.06982,-2.81695,0
-2.23818,0.90097,1
2.03630,-3.04707,0
-1.47049,1.11700,1
2.69884,-1.90793,0
-1.78741,2.20353,1
2.45045,-1.47616,0
-2.47456,-0.69721,1
0.78628,-1.10059,0
-2.53338,1.76700,1
3.02179,-1.81680,0
-2.12634,2.63098,1
1.07466,-1.80727,0
-3.19836,4.10069,1
1.38207,-2.72912,0
-0.48885,1.07829,1
0.69234,-0.67315,0
-2.02518,2.77436,1
2.34914,-2.27824,0
-0.47072,1.01696,1
2.08435,-2.67562,0
-1.50680,3.26453,1
2.47780,-1.59758,0
-2.41452,0.05101,1
0.85235,-1.35125,0
-2.57892,2.50875,1
2.64269,-0.86864,0
-2.12363,0.95702,1
1.82902,-2.04816,0
-1.23883,2.61338,1
2.39801,-2.22430,0
-3.01234,1.36552,1
2.99313,-2.53335,0
-0.90561,2.05132,1
1.98100,-1.39531,0
-1.39634,1.24823,1
1.47471,-3.10668,0
-1.05299,2.06423,1
2.59682,-2.25279,0
-3.18887,2.53406,1
1.91055,-1.58520,0
-1.86413,1.81841,1
3.27414,-2.43124,0
-2.50204,2.19185,1
1.62147,-1.66715,0
-2.90437,1.88516,1
2.25233,-1.47293,0
-3.78810,2.90779,1
1.38468,-2.88227,0
-2.84054,1.99763,1
1.56458,-1.95230,0
-1.16496,3.42622,1
2.62579,-3.56448,0
-3.23060,0.80514,1
1.64226,-1.05018,0
-0.69101,1.87333,1
0.75179,-2.75857,0
-1.68359,0.39747,1
3.43892,-1.10984,0
-4.92748,0.69762,1
1.89426,-1.82871,0
-2.91002,2.99622,1
1.61902,-5.37382,0
-1.13707,0.68538,1
2.61466,-2.70094,0
-1.25005,4.54627,1
2.21499,-3.39441,0
-2.23895,0.51424,1
3.25541,-2.79457,0
-1.86938,1.52310,1
1.70457,-2.41776,0
-1.23543,2.07068,1
1.99633,-2.16869,0
-3.28785,2.96140,1
2.99804,-0.36667,0
-1.62350,0.22137,1
1.87875,-2.54975,0
-3.63305,0.96299,1
0.18827,-1.89530,0
-3.62844,2.13624,1
1.35667,-1.48778,0
-1.12678,0.16027,1
2.37930,-4.20911,0
-1.88445,1.78627,1
2.82909,-1.53492,0
-2.89423,2.41782,1
1.37283,-1.97764,0
-2.98446,2.53594,1
0.41351,-2.53375,0
-2.02506,0.71441,1
2.83315,-3.45788,0
-3.25619,2.72048,1
2.54938,-1.01861,0
-1.33419,2.21763,1
2.24787,-2.61875,0
-0.22664,0.93192,1
2.31159,-1.04006,0
-2.63188,0.27465,1
1.84180,-2.28478,0
-1.24897,2.67228,1
1.42406,-1.60231,0
-2.26991,3.14671,1
3.28942,-2.79507,0
-3.23130,4.59185,1
3.41081,-4.52908,0
-4.70647,4.04934,1
1.84245,0.53904,0
-3.09790,2.60929,1
0.28624,-0.60745,0
-2.08292,2.91575,1
2.26119,-2.55317,0
-2.26126,2.18158,1
1.79252,-3.39008,0
-1.99055,1.43833,1
2.69020,-1.66899,0
-2.45985,1.64458,1
4.51798,-0.29722,0
-1.28628,-0.52434,1
1.92218,-2.73839,0
-2.49155,1.55420,1
1.87888,-0.32117,0
-2.52773,1.39252,1
1.86868,-4.03442,0
-1.33474,3.14740,1
0.81303,-3.28584,0
-1.34128,3.96545,1
2.70960,-2.76704,0
-1.63671,2.11589,1
2.65833,-2.16100,0
-1.80659,2.31651,1
1.43870,-1.88338,0
-3.37709,3.32631,1
6.24177,-1.91965,0
-2.20491,3.52713,1
3.30360,-1.46265,0
-3.98969,2.51427,1
2.63432,-1.93966,0
-1.48793,2.42215,1
1.53032,-1.93997,0
-2.44778,1.96928,1
3.68199,-1.73603,0
-1.78596,3.31252,1
1.61741,-1.99778,0
-1.87320,3.54817,1
1.45314,-4.61063,0
-2.12827,1.58227,1
1.71058,-1.01340,0
-3.26099,1.01132,1
2.79462,-1.13385,0
-2.42540,2.56018,1
1.29761,-2.57141,0
-3.48410,0.65982,1
2.03362,-2.02440,0
-2.13478,3.30222,1
1.51022,-1.35827,0
-2.89374,2.16375,1
2.21571,-1.46399,0
-2.12754,3.72994,1
2.89686,-2.88049,0
-2.39126,2.81443,1
1.52237,-1.96297,0
-2.54457,0.47528,1
